rno,Be_Effective,Immediate_Relief,Fix_Root_Cause,No_Side_Effect,Right_Price,Not_Too_Strong,Good_Brand,Easy_To_Find,Reduce_Gas,Protect_Stomach,Convenient_Dose,Long_Term_Effective,Good_Taste,Doc_Reccomend,Sustained_Relief,Flavours,Multiple_Forms,q14a1_1,edresp,occresp,medied,qlfn_2,qlfn_1,qlfn_3,cook_1,cook_2,cook_3,eatfreq,travel,daystrav,ailment1,ailment2,ailment3,ailment4,occcwe,edcwe,sec,mhi,ageresp,sexresp,edhw,workhw,lang_1,lang_2,anydr,chemist,family,expmedi,moub,cluster
124,5,5,5,5,5,4,2,5,4,3,5,5,5,2,3,2,4,1,6,56,3,30, , ,4, , ,8,2, ,99, , , ,56,6,A2,3,31,2,3,3,5, ,2,3,1,200,12,0
125,5,5,5,5,5,3,5,5,5,5,5,5,2,4,5,1,1,1,3,68,2,45, , ,4, , ,8,2, ,99, , , ,52,4,B2,3,30,2,3,3,2,5,2,3,1,50,1,3
126,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,2,4,56,3,6, , ,4, , ,8,2, ,2, , , ,56,4,B2,4,59,1,4,3,5, ,2,3,1,500,12,1
127,5,5,5,5,5,5,5,4,5,4,5,2,1,5,5,1,5,1,3,50,2,1, , ,4, , ,1,1,1,99, , , ,57,6,B1,3,28,2,3,3,5, ,2,3,1,50,1,3
128,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,1,4,1,6,68,3,30, , ,1,4, ,7,2, ,99, , , ,66,7,A2,5,28,2,6,3,5, ,2,3,3,1000,12,3
129,5,5,4,5,5,5,4,2,2,5,2,5,5,1,5,1,1,3,6,65,3,10, , ,4, , ,1,1,22,99, , , ,57,6,B1,4,30,1,1,3,5, ,2,3,1,700,6,2
130,5,5,5,5,5,5,2,5,5,4,5,5,4,3,5,3,4,4,6,56,3,30, , ,4, , ,8,2, ,99, , , ,56,6,A2,3,45,2,6,1,5, ,2,3,1,100,3,0
131,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,68,3,77, , ,4, , ,7,2, ,99, , , ,56,6,A2,3,32,2,6,3,5, ,2,3,1,50,1,1
132,5,5,5,4,5,5,2,5,5,5,5,5,5,5,5,2,2,1,3,68,3,7, , ,4, , ,9,2, ,99, , , ,50,4,C,4,43,2,3,3,5, ,2,3,1,25,1,0
133,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,2,3,68,3,4, , ,4, , ,8,2, ,99, , , ,56,7,A1,6,75,2,3,3,5, ,2,3,2,100,2,3
134,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,2,12,7,67,3,30,5, ,4, , ,8,2, ,3, , , ,65,6,B1,4,60,1,6,1,5, ,2,3,2,150,12,3
135,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,2,2,70,3,47, , ,4, , ,9,2, ,99, , , ,66,5,B1,4,78,2,4,3,5, ,2,3,2,400,2,1
136,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,4,5,2,4,57,3,99, , ,1,4, ,1,2, ,99, , , ,57,4,C,5,42,1,3,3,5, ,2,3,1,700,2,1
137,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,4,2,6,68,3,30, , ,1, , ,7,2, ,99, , , ,67,7,A1,8,48,2,6,3,5, ,2,3,1,200,12,1
138,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,4,1,1,7,57,1,21, , ,2, , ,8,2, ,97,1, , ,57,7,B1,7, , ,6,1,1,2,2,3,2,100,12,1
139,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,2,6,68,6,99, , ,1, , ,9,2, ,97, , , ,52,5,B1,4, , ,6,3,15, ,2,3,3,100,1,1
140,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,5,1,5,66,1,99, , ,2,3, ,4,2, ,97, , , ,52,6,A2,4,30,1,4,3,3,15,1,1,3,400,1,1
141,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,2,4,65,6,99, , ,2, , ,4,2, ,97, , , ,55,4,A2,3,38,1,4,1,3, ,2,3,1,250,7,1
142,5,5,5,5,5,5,4,5,5,2,5,5,5,5,5,5,5,7,6,65,6,10, , ,2, , ,1,1,8,97, , , ,65,6,B1,4, , ,4,3,3, ,2,3,1,100,7,1
143,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,2,5,1,5,68,2,22, , ,4, , ,7,2, ,97, , , ,66,6,A2,6, , ,5,3,2, ,2,3,1,100,12,3
144,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,3,68,7,99, , ,2, , ,7,2, ,97, , , ,54,3,B2,3, , ,3,3,4, ,2,3,1,100,7,1
145,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,1,4,50,6,99, , ,1, , ,7,1,2,97, , , ,50,4,C,4, , ,1,3,3, ,2,3,3,300,1,1
146,5,5,5,5,5,5,5,5,5,5,2,5,4,5,5,2,5,10,4,68,6,99, , ,1, , ,7,2, ,2, , , ,57,6,B1,6,38,2,4,3,3, ,2,3,2,500,12,3
147,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,68,2,99, , ,2, , ,7,2, ,2, , , ,66,6,A2,5, , ,3,3,2, ,2,3,1,100,1,1
148,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,1,6,51,1,30, , ,1, , ,7,2, ,97, , , ,67,6,A1,5,38,2,6,1,1,2,2,3,1,100,7,1
149,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,8,5,50,6,99, , ,2, , ,3,2, ,97, , , ,50,5,C,6,42,1,4,3,3, ,2,3,2,300,8,1
150,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,3,49,11,99, , ,5, , ,9,2, ,97, , , ,49,3,E1,4, , ,3,3,8, ,2,3,1,300,8,1
151,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,2,4,12,4,68,6,99, , ,2, , ,9,2, ,2, , , ,57,6,B1,6,67,2,6,3,3, ,2,3,2,150,12,3
152,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,4,68,1,99, , ,2, , ,4,1,4,97, , , ,52,6,A2,5,25,2,4,3,2,4,2,3,1,200,8,1
153,5,5,5,5,5,5,5,5,5, ,5,5,5,5,5,4,5, ,2,68,7,99, , ,2, , ,9,2, ,1,2,3, ,52,4,B2,4,75,2,2,3,4, ,2,3,2,200,12,1
154,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,5,12,2,68,7,99, , ,1, , ,7,2, ,97, , , ,67,7,A1,9,62,2,2,3,4, ,2,3,3,100,13,3
155,4,4,4,4,5,5,5,5,5,5,5,5,5,5,4,2,1,8,2,68,7,99, , ,G, , ,9,2, ,97, , , ,53,6,A2,3,40,2,2,3,2,4,2,3,2,30,8,4
156,5,5,5,5,4,4,4,5,5,5,5,4,4,5,5,4,4,11,3,69,6,99, , ,2, , ,7,2, ,54, , , ,66,4,B2,5, ,1,4,3,3, ,2,3,1,300,10,1
157,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,57,7,21, , ,2, , ,7,1,1,97, , , ,57,6,B1,4,42,1,6,3,4, ,2,3,1,150,8,1
158,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,50,6,99, , ,2, , ,7,2, ,97, , , ,66,7,A2,4,56,1,3,3,3, ,2,3,1,400,13,1
159,5,5,5,4,4,5,2,5,5,2,5,5,5,5,5,4,4,1,6,57,2,21, , ,2, , ,4,2, ,97, , , ,57,6,B1,6,26,1,2,3,2, ,2,3,3,400,1,0
160,5,4,5,5,5,4,5,5,4,4,5,5,4,5,5,2,4,9,6,57,7,22, , ,2, , ,8,2, ,97, , , ,66,7,A2,7,66,2,6,3,3, ,2,3,1,300,10,3
161,5,5,4,5,4,4,5,5,4,5,5,5,4,5,5,2,5,1,6,57,6,22, , ,1, , ,8,2, ,97, , , ,66,7,A2,7,25,2,4,1,3, ,2,3,3,900,1,3
162,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,2,4,8,3,68,8,99, , ,5, , ,9,2, ,2, , , ,66,6,A2,8, , ,3,3,8,16,2,3,2,100,8,3
163,5,4,5,4,3,4,5,5,5,5,4,5,4,4,5,1,4,1,6,67,1,22, , ,2, , ,9,2, ,97, , , ,67,6,A1,5,37,1,4,3,1,15,2,3,2,150,1,3
164,5,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,4,68,1,99, , ,1, , ,7,2, ,2, , , ,57,6,B1,4,44,2,4,3,1,6,2,3,1,500,2,1
165,5,5,5,5,4,3,5,5,5, ,5,5,5,5,5,4,5,1,4,69,1,99, , ,2, , ,7,2, ,97, , , ,66,6,A2,5, ,2,4,3,1,3,2,3,1,200,1,1
166,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,11,8,90,99,99, , ,2, , ,9,2, ,97, , , ,50,4,C,5, ,1,2,3,3, ,2,3,2,300,2,1
167,5,5,5,5,5,2,5,5,5, ,4,5,5,5,5, ,5,8,3,68,6,99, , ,2, , ,7,2, ,97, , , ,49,3,E1,3,30,2,3,3,3, ,2,3,1,100,8,1
168,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,68,7,99, , ,2, , ,8,2, ,97, , , ,57,4,C,4,35,2,4,3,1,4,2,3,2,100,7,1
169,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,54,7,21, , ,2, , ,6,2, ,97, , , ,55,4,A2,10, , ,5,3,4, ,2,3,3,100,8,1
170,5,5,5,5,5,5,5,5,5,5,5,2,4,5,2,5,5,1,6,68,12,1, , ,2, , ,7,2, ,97, , , ,65,4,C,5,34,2,6,3,4, ,2,3,1,400,12,1
171,5,5,5,5,5,4,5,5,5,5,4,5,4,5,5,2,2,9,6,66,1,21, , ,2, , ,9,2, ,97, , , ,67,6,A1,7, , ,4,3,9, ,2,3,1,100,8,3
172,5,5,5,5,2,2,4,5,5,5,2,5,2,4,4,2,4,1,7,67,1,20, , ,1, , ,8,2, ,97, , , ,67,7,A1,10,40,1,6,3,5, ,2,3,1,200,12,0
173,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,4,68,6,99, , ,1, , ,9,2, ,2, , , ,66,6,A2,4, , ,4,3,3, ,2,3,1,100,9,1
174,5,5,5,5,5,5,5,5,5,5,1,5,5,5,5,4,5,2,4,68,6,99, , ,1, , ,9,2, ,97, , , ,57,4,C,5,28,2,4,3,3, ,2,3,1,100,2,1
175,5,5,5,5,5,4,5,5,5,5,5,2,5,5,5,5,5,1,7,67,2,21, , ,1, , ,4,2, ,97, , , ,67,7,A1,7,35,1,6,3,2, ,2,3,1,100,8,1
176,4,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,7,4,68,6,99, , ,2, , ,9,2, ,97, , , ,50,4,C,3, , ,4,3,3, ,2,3,1,100,7,4
177,4,4,4,4,4,5,5,4,5,4,4,4,4,4,4,4,4,1,4,68,1,20, , ,2, , ,9,2, ,97, , , ,50,4,C,3, , ,4,3,3, ,2,3,1,200,1,4
178,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,8,5,69,1,99, , ,2, , ,7,2, ,97, , , ,65,6,B1,6, , ,4,3,3, ,2,3,1,400,8,1
179,5,5,5,4,5,5,2,5,5,5,5,5,5,4,5,4,5,8,1,68,99,99, , ,2, , ,9,2, ,97, , , ,50,4,C,5,72,2,6,3,3, ,2,3,2,200,8,0
180,5,5,4,5,5,5,5,5,5,5,5,2,4,4,1,4,5, ,4,68,6,99, , ,2, , ,9,2, ,97, , , ,65,4,C,3,64,2,4,3,3, ,2,3,1,700,13,4
181,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,49,6,99, , ,2, , ,1,2, ,97, , , ,49,4,D,3,33,1,3,3,3, ,2,3,1,200,1,1
182,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,51,1,99, , ,1, , ,7,1,1,2,3,5, ,51,4,C,4,54,1,4,3,1,2,2,3,1,300,1,1
183,5,5,5,5,2,5,4,5,5,2,5,2,2,2,5,4,5,1,5,69,1,99, , ,1, , ,8,2, ,55, , , ,67,7,A1,9,19,2,7,1,1,2,2,3,1,250,8,0
184,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,2,4,68,8,99, , ,5, , ,7,2, ,97, , , ,51,4,C,8,50,2,4,3,1,2,2,3,3,300,2,1
185,4,4,4,4,4,4,4,5,5,4,4,4,5,5,5,5,5,7,4,57,6,99, , ,1, , ,9,2, ,97, , , ,57,4,C,4, , ,3,3,3, ,2,3,1,100,10,4
186,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,2,4,68,6,99, , ,2, , ,9,2, ,97, , , ,50,4,C,6,50,2,4,3,3, ,2,3,2,450,10,1
187,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,50,6,99, , ,1, , ,7,1,2,97, , , ,65,3,C,5,41,1,3,3,3, ,2,1,2,500,1,1
188,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5, ,3,69,1,99, , ,2, , ,9,2, ,97, , , ,53,6,A2,7, ,2,3,3,2, ,2,3,1,50,9,1
189,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,1,5,69,1,99, , ,1, , ,2,2, ,97, , , ,67,7,A1,7,21,1,4,3,9, ,2,3,1, ,2,1
190,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,10,4,68,6,99, , ,2, , ,8,1,1,2, , , ,66,4,B2,4,34,2,4,3,3, ,2,3,1,100,9,1
191,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,4,57,6,99, , ,1, , ,7,2, ,97, , , ,50,4,C,3,34,1,3,3,3, ,2,3,1, ,12,1
192,5,5,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,7,4,57,6,99, , ,2, , ,9,2, ,97, , , ,57,4,C,4,42,1,3,3,3, ,2,3,1,500,7,1
193,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,6,6,54,1,20, , ,1, , ,6,2, ,2, , , ,51,6,B2,8,44,1,6,1,13, ,2,3,1,100,12,3
194,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,2,5,10,3,68,6,99, , ,2, , ,8,2, ,97, , , ,65,6,B1,5,58,2,3,3,3, ,2,3,1,100,2,3
195,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,6,4,69,1,99, , ,2, , ,8,1,1,97, , , ,57,3,D,4, ,1,3,3,4, ,2,3,1,500,7,1
196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,5,52,6,99, , ,2, , ,6,2, ,2, , , ,52,5,B1,5,58,1,6,3,2,3,2,3,1,300,12,1
197,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,69,1,99, , ,2, , ,9,2, ,97, , , ,67,6,A1,6,18,2,4,3,3, ,2,3,1, ,1,1
198,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,10,4,57,7,99, , ,2, , ,9,2, ,2, , , ,65,4,C,4,68,1,4,3,2,4,2,3,3,400,12,1
199,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,2,5,1,6,68,3,22, , ,1,4, ,8,2, ,56, , , ,66,6,A2,8,31,2,6,3,1,2,2,3,1,300,1,3
200,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,3,8,4,57,1,99, , ,2, , ,8,2, ,97, , , ,57,5,B2,4,64,1,3,3,8, ,2,3,1,100,8,1
201,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,9,3,68,2,99, , ,2, , ,5,2, ,2, , , ,52,4,B2,4, , ,3,3,26, ,2,3,1,200,10,1
202,5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,3,5,1,6,68,1,22, , ,5, , ,7,2, ,16, , , ,67,5,A2,6,38,2,6,3,1,2,2,3,1,500,8,3
203,5,5,5,5,5,5,5,5,5, ,5,5,5,5,5,5,5,10,4,70,6,99, , ,6, , ,7,2, ,97, , , ,57,3,D,3,31,1,3,3,2,3,2,3,1,300,10,1
204,5,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,11,6,66,6,22, , ,1, , ,8,2, ,1,2,3, ,66,6,A2,4,60,1,3,3,3, ,1,3,1,1100,1,1
205,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,57,6,99, , ,2, , ,8,1,1,97, , , ,57,4,C,5,58,1,4,3,3, ,2,3,2,50,10,4
206,5,5,5,5,4,5,5,5,5,5,4,5,5,4,5,4,5,2,6,68,1,20, , ,2, , ,7,2, ,97, , , ,54,4,B1,6,20,1,4,3,11, ,2,3,1,300,2,1
207,5,5,5,5,5,4,5,5,5,5,5,5,4,5, ,4,4,1,1,68,99,99, , ,1, , ,9,2, ,97, , , ,50,4,C,3,66,2,1,3,6,7,2,3,1,300,7,1
208,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,4,3,1,4,57,1,99, , ,1, , ,8,2, ,97, , , ,67,4,B1,5,69,1,4,3,1,6,2,3,1,200,1,1
209,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,2,5,2,4,70,1,99, , ,1, , ,7,1,2,97, , , ,49,2,E2,3, ,1,2,2,6, ,2,3,1,10,2,3
210,5,5,4,5,5,5,5,5,5,5,5,5,5,4,5,4,5,2,3,70,1,99, , ,2, , ,6,1,1,97, , , ,54,4,B1,5, ,1,6,3,1,6,1,3,2,100,2,1
211,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,4,70,10,99, , ,1, , ,9,2, ,97, , , ,56,4,B2,3,23,1,3,3,6,7,2,3,1,30,6,1
212,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,68,99,99, , ,1, , ,9,2, ,97, , , ,49,4,D,3,28,2,1,3,6, ,2,3,1,100,1,1
213,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,1,6,57,1,10, , ,1, , ,7,2, ,97, , , ,57,6,B1,6,40,1,4,3,6,7,2,3,2,400,7,1
214,5,5,5,5,5,2,5,5,5,5,5,5,4,5,5,4,5,1,4,65,9,99, , ,2, , ,9,2, ,97, , , ,65,4,C,5,49,1,4,3,1,6,2,3,1,100,2,1
215,4,4,4,4,4,2,4,4,3,4,4,4,4,4,4,4,4,1,5,57,1,51, , ,1, , ,8,2, ,4, , , ,57,5,B2,5,55,1,5,1,6, ,2,3,1,500,12,4
216,5,5,3,5,5,4,4,5,5,4,4,4,4,5,5,4,4,4,4,68,10,99, , ,1, , ,8,2, ,4, , , ,54,5,A2,4,52,2,4,3,6, ,2,3,1,300,1,1
217,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,50,3,1, , ,A, , ,8,1,1,1,2, , ,50,3,D,3,22,1,3,2,6,7,2,3,1,300,6,1
218,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,4,5,1,4,56,10,99, , ,1, , ,9,2, ,97, , , ,51,3,D,3,21,1,4,3,6,9,2,3,1,500,13,1
219,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,68,99,99, , ,2, , ,8,2, ,97, , , ,57,4,C,3,33,2,3,3,3,6,2,3,1,100,1,1
220,5,5,5,5,4,4, ,5,5,4,5,4,3,5,5,4,4,2,7,67,10,99, , ,1, , ,9,1,1,2, , , ,66,6,A2,5,40,1,6,3,6, ,2,3,1,50,2,1
221,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,51,10,99, , ,7, , ,3,2, ,97, , , ,49,3,E1,3,57,1,1,3,6, ,2,3,1,100,2,1
222,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,2,4,68,10,1, , ,7, , ,7,2, ,3,44, , ,56,6,A2,5,67,1,4,3,2,6,2,3,1,1000,2,1
223,5,5,5,5,5,3,5,5,5,5,5,5,4,5,5,4,5,2,4,65,10,99, , ,2, , ,4,2, ,2, , , ,65,4,C,3,41,1,2,3,6, ,2,3,3,100,2,1
224,5,5,4,5,4,5,5,5,4,5,5,4,5,5,5,5,5,2,1,68,99,99, , ,3, , ,8,2, ,97, , , ,52,3,C,3,60,2,3,3,6, ,2,3,3,100,2,1
225,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,3,4,1,5,57,10,99, , ,4, , ,8,2, ,97, , , ,57,5,B2,3,48,1,4,3,6, ,2,3,1,25,1,3
226,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,2,3,68,10,99, , ,7, , ,9,2, ,97, , , ,50,3,D,3,42,2,3,3,6, ,2,3,1,300,2,1
227,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,2,3,70,10,7, , ,A, , ,8,1,1,97, , , ,53,4,B1,3,33,2,3,3,6, ,2,3,1, ,2,1
228,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,4,1,2,68,10,99, , ,1, , ,9,2, ,2, , , ,67,6,A1,8,74,2,2,3,6, ,2,3,2,400,1,1
229,5,5,5,5,4,4,5,5,5,5,5,5,3,5,5,4,3,1,4,68,10,99, , ,1, , ,9,2, ,97, , , ,56,4,B2,7,56,2,1,3,6,9,2,3,3,500,2,1
230,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,67,1,99, , ,1, , ,9,2, ,97, , , ,67,7,A1,5,63,1,3,3,2,6,1,3,1,100,1,1
231,5,5,5,5,5,4,4,5,5,5,4,5,4,5,5,4,4,1,5,66,1,99, , ,1, , ,9,2, ,97, , , ,67,5,A2,3, ,1,4,3,6, ,1,3,2,300,1,1
232,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,3,7,4,70,10,99, , ,1, , ,7,1,1,97, , , ,57,6,B1,6,35,1,6,1,1,6,2,3,1,75,7,1
233,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,6,50,1,17, , ,7, , ,8,2, ,97, , , ,57,6,B1,5,45,1,4,3,6, ,2,3,3,150,1,1
234,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,5,1,1,68,99,99, , ,1,2, ,9,2, ,2, , , ,56,7,A1,5,75,2,1,3,6,7,2,3,2,600,1,1
235,5,5,5,5,5,1,4,5,5,5,5,5,4,5,5,4,5,1,5,50,10,99, , ,2, , ,8,2, ,97, , , ,50,5,C,3,35,1,4,3,6, ,2,3,1,100,2,0
236,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,51,10,99, , ,7, , ,9,2, ,97, , , ,51,3,D,3,43,1,1,3,6, ,2,3,2, ,2,1
237,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,2,6,56,1,99, , ,1, , ,8,2, ,97, , , ,56,6,A2,7,56,1,5,3,1,6,2,3,1,200,3,1
238,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,3,3,50,10,99, , ,1, , ,9,2, ,97, , , ,50,3,D,3,28,1,4,3,6, ,2,3,2,300,3,1
239,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,2,5,70,1,34, , ,1, , ,1,1,2,97, , , ,50,4,C,3,20,1,1,3,6, ,2,3,3,100,2,1
240,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,4,49,10,99, , ,2, , ,8,2, ,97, , , ,56,4,B2,3,50,2,4,2,6, ,2,3,2,40,1,1
241,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,8,5,57,1,99, , ,1, , ,7,1,2,97, , , ,57,4,C,7,35,2,1,3,6,7,2,3,2,200,8,1
242,5,5,5,5,5,4,4,4,4,5,4,5,3,5,4,3,3,12,3,68,1,99, , ,1, , ,6,2, ,97, , , ,66,6,A2,5, ,1,6,1,6, ,2,3,1,100,12,2
243,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,68,10,99, , ,7, , ,9,2, ,1, , , ,50,3,D,3,45,1,2,2,6, ,2,3,3,100,2,1
244,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,57,1,21, , ,2, , ,8,2, ,97, , , ,65,5,B2,4,24,2,3,3,6, ,2,3,1,300,2,1
245,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,90,1,99, , ,1, , ,9,2, ,97, , , ,56,6,A2,4,45,1,3,3,6, ,2,3,1,200,1,1
246,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,5,68,10,94, , ,1, , ,8,1,1,97, , , ,65,6,B1,4,40,2,5,3,6,7,2,3,1,300,1,1
247,5,5,5,5,5,4,4,5,5,5,4,5,4,4,5,3,4,6,3,68,10,99, , ,1, , ,9,2, ,97, , , ,65,6,B1,4,37,2,3,3,6, ,2,3,1,150,8,3
248,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,7,65,1,30, , ,1, , ,8,2, ,97, , , ,65,6,B1,3,70,2,6,1,1,6,2,3,1,100,2,1
249,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,90,10,7, , ,2, , ,8,1,1,97, , , ,50,3,D,3,31,2,3,3,6, ,2,3,1,100,2,1
