rno,Be_Effective,Immediate_Relief,Fix_Root_Cause,No_Side_Effect,Right_Price,Not_Too_Strong,Good_Brand,Easy_To_Find,Reduce_Gas,Protect_Stomach,Convenient_Dose,Long_Term_Effective,Good_Taste,Doc_Reccomend,Sustained_Relief,Flavours,Multiple_Forms,q14a1_1,edresp,occresp,medied,qlfn_2,qlfn_1,qlfn_3,cook_1,cook_2,cook_3,eatfreq,travel,daystrav,ailment1,ailment2,ailment3,ailment4,occcwe,edcwe,sec,mhi,ageresp,sexresp,edhw,workhw,lang_1,lang_2,anydr,chemist,family,expmedi,moub,cluster
250,5,5,5,5,4,2,4,5,5,5,5,5,3,5,5,3,3,3,2,68,10,99, , ,1, , ,9,2, ,97, , , ,56,7,A1,4,37,2,2,3,6,7,2,3,1,100,12,0
251,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,6,65,1,99, , ,1, , ,1,2, ,97, , , ,66,7,A2,6,29,1,6,3,1,2,2,3,1,50,2,1
252,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,65,1,30, , ,1, , ,5,2, ,97, , , ,65,6,B1,3,35,1,4,3,6, ,2,3,1,300,1,1
253,5,5,5,5,4,5,4,5,5,3,3,4,2,4,5,2,4,7,6,65,1,30,5, ,1, , ,6,2, ,97, , , ,66,6,A2,4,38,2,6,1,1,6,2,3,1,200,7,3
254,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,68,99,99, , ,1, , ,9,2, ,97, , , ,51,3,D,3,45,2,1,3,6, ,2,3,1,100,1,1
255,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,1,6,56,1,99, , ,1, , ,7,2, ,97, , , ,56,7,A1,4,24,1,6,3,1,6,2,3,2,550,1,1
256,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,6,90,1,21, , ,1, , ,7,1,10,97, , , ,67,6,A1,7,20,1,6,3,6, ,2,3,1,300,2,1
257,5,5,5,5,5,4,4,4,4,5,5,4,3,4,5,3,4,1,4,53,10,99, , ,1, , ,6,2, ,97, , , ,52,6,A2,5,62,1,3,3,6, ,2,3,2,200,7,2
258,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,1,3,70,10,99, , ,1, , ,9,2, ,3, , , ,52,3,C,5, ,1,3,3,6, ,2,3,3,200,2,1
259,5,5,5,5,4,4,3,4,5,5,4,4,4,4,4,4,4,1,7,67,10,21, , ,1, , ,7,2, ,97, , , ,65,6,B1,6,42,1,6,3,1,6,2,3,1,200,2,0
260,5,5,5,5,5,5,4,4,4,4,4,5,3,5,5,2,4,12,4,49,10,99, , ,1, , ,4,2, ,97, , , ,50,4,C,4,65,1,3,3,6, ,1,3,1,50,12,3
261,5,5,5,5,5,4,5,5,5,5,4,5,3,5,5,4,5,1,4,50,1,99, , ,1, , ,9,2, ,97, , , ,50,4,C,3,60,1,4,3,6, ,2,3,3,100,2,1
262,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,65,10,99, , ,1, , ,8,2, ,97, , , ,67,7,A1,6,38,2,4,1,6, ,2,3,1,100,2,1
263,5,5,5,5,5,4,4,5,5,5,5,5,4,4,4,4,4,2,4,68,10,21, , ,2,3, ,5,1,1,97, , , ,66,4,B2,4,32,2,4,3,1,6,2,3,1,50,2,0
264,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,68,1,99, , ,1, , ,9,2, ,97, , , ,56,4,B2,3, ,2,3,3,6,9,2,3,1,150,2,1
265,5,5,5,5,5,5,5,5,5,4,4,4,3,5,5,2,4,1,4,90,10,94, , ,1, , ,9,1,1,2,3, , ,65,5,B2,3,54,2,4,3,6, ,2,3,3,50,2,3
266,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,4,1,4,56,10,99, , ,1, , ,9,2, ,97, , , ,50,4,C,3,29,2,3,3,6, ,2,3,1,20,2,1
267,5,5,5,5,5,4,4,5,5,5,5,5,4,4,5,4,4,7,4,57,10,9, , ,1, , ,7,1,4,97, , , ,50,4,C,3,33,1,6,3,6, ,2,3,1,200,12,1
268,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,65,1,99, , ,1, , ,4,1,2,97, , , ,65,3,C,3, ,2,6,3,6,7,2,3,1,300,6,1
269,5,5,5,5,4,4,3,5,5,5,3,5,3,5,5,3,5,2,4,68,1,99, , ,1, , ,9,2, ,2, , , ,67,7,A1,5,55,2,4,3,2,5,2,3,1,100,2,0
270,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,4,5,1,6,68,2,11, , ,4, , ,8,2, ,97, , , ,57,7,B1,4,38,2,6,3,2, ,2,3,2,300,1,1
271,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,3,9,6,68,2,30, , ,4, , ,8,2, ,97, , , ,57,7,B1,3,37,2,6,2,2, ,2,3,1,50,10,1
272,5,5,5,5,4,4,5,5,5,3,5,5,5,5,5,3,4,9,1,68,2,99, , ,4, , ,9,2, ,2,14,13, ,51,4,C,3,35,2,1,3,2, ,2,3,1,150,9,3
273,5,5,5,5,4,4,3,5,5,5,4,5,5,4,5,5,5,8,3,69,2,42, , ,4, , ,9,2, ,97, , , ,57,6,B1,4, ,1,4,3,2, ,2,3,2,150,10,0
274,5,5,5,5,4,3,4,5,5,5,5,5,4,5,5,2,2,1,4,51,2,22, , ,4, , ,6,1,8,2, , , ,51,4,C,3,40,1,3,3,2, ,2,3,1,200,2,3
275,5,5,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,9,3,68,2,7, , ,4, , ,9,2, ,97, , , ,54,6,A1,5, , ,3,3,2, ,2,3,1,200,9,1
276,5,5,5,5,4,5,4,5,5,5,4,5,5,5,5,5,5,9,6,68,2,11, , ,4, , ,7,2, ,97, , , ,54,6,A1,4, , ,6,3,2, ,2,3,1,100,9,1
277,5,5,5,5,5,4,4,5,5,4,5,5,4,5,5,4,5,8,5,69,2,17, , ,4, , ,9,2, ,97, , , ,66,6,A2,4, , ,4,3,2, ,2,3,1,50,9,1
278,5,5,5,5,3,4,5,5,5,4,5,5,5,5,5,3,5,9,1,68,99,52, , ,4, , ,9,2, ,97, , , ,49,4,D,3,65,2,4,3,2, ,2,3,1,150,9,3
279,5,5,5,5,5,4,2,5,5,4,5,5,4,4,5,2,4,3,6,57,2,11,46, ,A, , ,7,2, ,97, , , ,57,6,B1,4,34,1,6,3,2, ,2,3,3,200,9,0
280,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,1,68,99,99, , ,4, , ,9,2, ,2, , , ,51,1,E2,3, , ,1,3,2, ,2,3,1,300,9,1
281,5,5,5,5,4,4,5,5,5,4,4,5,5,5,5,4,5,9,6,57,2,11,5, ,4, , ,8,2, ,97, , , ,57,6,B1,5,40,2,6,1,2, ,2,3,2,100,9,1
282,4,5,4,4,4,5,4,5,5,4,5,5,5,5,5,3,4,1,5,69,2,30, , ,4, , ,7,2, ,97, , , ,66,6,A2,5,24,2,6,3,2, ,2,3,3,400,1,4
283,5,5,5,5,5,4,4,5,5,5,5,5,5,4,5,2,4,9,1,68,99,97, , ,Z, , ,9,2, ,97, , , ,49,3,E1,3, , ,1,3,2, ,2,3,1,200,10,3
284,5,5,5,5,3,2,2,4,5,5,5,5,2,3,5,4,3,9,4,52,2,9, , ,4, , ,8,2, ,97, , , ,52,4,B2,3,40,1,3,3,2, ,2,3,1,50,12,0
285,5,5,5,5,4,4,5,5,5,4,5,5,5,5,5,2,5,8,4,57,2,22, , ,4, , ,9,2, ,97, , , ,52,4,B2,4,35,2,4,1,2, ,2,3,2,200,9,3
286,5,4,5,5,5,4,4,5,5,5,5,4,5,5,5,4,5,9,6,68,2,11,5, ,4, , ,7,2, ,2, , , ,67,7,A1,6,32,2,6,2,2, ,2,3,3,200,10,1
287,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,68,2,11,5, ,4, , ,8,2, ,97, , , ,52,6,A2,4,28,2,6,3,2, ,2,3,3,100,1,1
288,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,8,6,57,2,11,5, ,1,4, ,9,2, ,97, , , ,65,6,B1,4,38,2,6,1,2, ,2,3,2,200,9,1
289,5,5,5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,1,6,57,2,11, , ,4, , ,8,2, ,97, , , ,65,7,A2,5, , ,6,2,2, ,2,3,1,250,1,1
290,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,8,6,57,2,11, , ,4, , ,8,2, ,97, , , ,49,3,E1,3,28,1,3,1,2, ,2,3,3,200,10,1
291,5,5,5,5,4,4,5,5,4,5,5,5,5,4,5,4,5,1,6,68,2,11,5, ,9, , ,7,2, ,97, , , ,66,6,A2,6,40,2,5,3,2, ,2,3,1,100,9,1
292,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,9,1,68,2,97, , ,4, , ,8,2, ,97, , , ,57,4,C,3, , ,1,3,2, ,2,3,1,50,9,1
293,5,5,5,5,4,4,4,5,5,5,4,5,5,5,5,4,5,1,4,57,2,1, , ,4, , ,9,2, ,3, , , ,66,7,A2,5,59,1,6,3,2, ,2,3,3,200,9,1
294,5,5,5,5,5,4,4,5, ,4,4,5,4,5,5,3,5,1,7,56,2,14,49, ,4, , ,7,2, ,2, , , ,56,7,A1,4,46,1,4,3,2, ,2,3,1,250,1,3
295,5,5,5,5,5,4,4,5,5,5,5,5,4,5,5,4,2,9,3,68,2,7, , ,4, , ,9,2, ,97, , , ,50,4,C,4, , ,3,3,2, ,2,3,1,150,12,1
296,5,5,5,5,5,5,5,5,3,4,5,5,4,5,5,5,5,1,1,68,99,7, , ,4, , ,9,2, ,97, , , ,49,3,E1,3,37,2,1,3,2, ,2,3,1,200,12,1
297,5,5,5,5,5,4,4,5,5,4,5,5,2,5,5,2,5,1,5,69,2,17, , ,4, , ,6,2, ,97, , , ,57,4,C,4,18,2,6,3,2, ,2,3,1,200,9,3
298,5,5,5,5,5,5,5,5,5,4,5,5,2,4,5,2,5,8,6,65,2,11, , ,4, , ,9,1,4,1,2,26, ,65,6,B1,4,45,1,4,3,2, ,2,3,1,100,12,3
299,5,5,5,5,4,4,5,5,5,5,5,5,4,4,5,2,5,1,7,68,2,11,49, ,4, , ,9,2, ,97, , , ,53,7,A1,4,30,2,6,3,2, ,2,3,2,150,12,3
300,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,3,4,1,6,68,2,11, , ,3,4, ,7,2, ,97, , , ,65,6,B1,4,40,2,6,3,2, ,2,3,1,100,1,3
301,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,3,68,2,7, , ,4, , ,9,2, ,97, , , ,51,4,C,3, , ,3,3,2, ,2,3,2,100,9,1
302,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,68,2,97, , ,4, , ,9,2, ,2, , , ,50,4,C,3, , ,4,2,2,11,2,3,1,500,1,1
303,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,68,2,30, , ,1,4, ,7,2, ,2, , , ,67,7,A1,5, , ,6,3,2, ,2,3,1,400,1,1
304,5,5,5,5,3,3,4,5,5,5,4,5,3,3,5,3,4,9,1,68,99,97, , ,4, , ,9,2, ,1, , , ,50,3,D,4,35,2,1,3,2, ,2,3,1,400,12,0
305,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,68,2,7, , ,4, , ,9,2, ,2, , , ,51,3,D,3, , ,3,3,2, ,2,3,1,50,1,1
306,5,4,5,5,5,4,5,5,5,5,4,5,5,5,5,2,5,1,4,57,2,1, , ,4, , ,4,2, ,97, , , ,57,4,C,3,31,1,1,3,2, ,2,3,1,200,9,3
307,5,5,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,1,4,68,2,97, , ,Z, , ,9,2, ,97, , , ,57,6,B1,4,52,1,4,3,2, ,2,3,1,100,1,1
308,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,3,5,1,6,68,99,30, , ,4, , ,7,2, ,2, , , ,52,5,B1,6,46,2,6,3,2, ,2,3,1,100,12,3
309,5,4,4,5,2,1,5,5,4,4,4,1,4,2,5,2,1,9,6,57,2,11, , ,1, , ,8,2, ,97, , , ,57,7,B1,4,30,1,4,3,2, ,2,3,1,50,10,4
310,5,5,5,5,4,4,5,5,5,5,5,5,4,5,5,1,5,9,7,67,2,10,49, ,4, , ,6,2, ,3, , , ,66,7,A2,6,38,1,6,3,2, ,2,3,1,100,12,3
311,5,5,5,5,4,5,4,5,5,3,5,5,4,4,5,4,5,9,6,68,2,30, , ,4, , ,7,2, ,97, , , ,67,6,A1,5, , ,6,3,2, ,2,3,1,250,11,1
312,5,5,5,5,3,5,5,5,5,5,5,3,5,5,5,5,5,8,3,49,2,38, , ,4, , ,8,1,4,97, , , ,49,3,E1,3,26,1,3,3,2, ,2,3,1,50,9,1
313,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,68,2,7, , ,4, , ,8,2, ,97, , , ,51,3,D,4, , ,3,3,2, ,2,3,1,100,1,1
314,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,4,68,2,1, , ,4, , ,9,2, ,97, , , ,57,6,B1,4,34,2,4,3,2, ,2,3,1,200,9,1
315,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,9,6,68,2,30, , ,4, , ,7,2, ,97, , , ,66,7,A2,5,37,2,6,3,2, ,2,3,1,200,9,3
316,5,5,5,5,3,4,5,4,5,5,5,5,4,5,5,3,3,8,6,57,2,30, , ,4, , ,9,2, ,97, , , ,57,6,B1,3,25,2,6,2,2, ,2,3,1,50,10,3
317,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,9,6,68,2,30, , ,4, , ,8,2, ,97, , , ,66,7,A2,8,35,2,4,3,2, ,2,3,2,200,10,3
318,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,9,3,68,2,7, , ,4, , ,8,2, ,97, , , ,57,4,C,3, , ,3,3,2, ,2,3,1,150,8,1
319,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,3,68,2,97, , ,4, , ,9,2, ,97, , , ,66,6,A2,4,45,2,3,3,2, ,2,3,1,100,10,1
320,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,68,2,30, , ,4, , ,8,2, ,97, , , ,66,6,A2,8,42,2,6,3,2,5,2,3,1,400,3,1
321,5,5,5,5,5,1,4,5,5,5,5,5,5,5,5,5,5,1,4,68,2,9, , ,4, , ,9,2, ,1,2, , ,66,7,A2,5, , ,4,3,2, ,2,3,1,500,1,0
322,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,10,4,68,2,9, , ,4, , ,9,2, ,2, , , ,66,6,A2,7,30,2,4,3,2, ,2,3,3,200,10,3
323,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,1,1,68,99,99, , ,4, , ,8,2, ,1,2, , ,52,3,C,3,60,2,1,3,2,11,2,3,3,250,1,1
324,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,3,68,2,8, , ,2, , ,8,2, ,2,4, , ,57,3,D,3,45,2,3,3,2, ,2,3,1,250,1,1
325,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,1,6,69,2,17, , ,4, , ,9,2, ,97, , , ,65,6,B1,4, , ,3,3,2, ,2,3,3, ,10,1
326,5,5,5,5,5,2,3,5,5,4,5,5,4,5,3,3,5,9,1,68,99,99, , ,4, , ,7,2, ,1, , , ,65,4,C,4,40,2,1,3,2,16,2,3,1,100,12,0
327, ,5,5,5,5,5,2,5,5,2,5,5,5,5,5,5,5,1,6,57,2,30, , ,4, , ,9,2, ,97, , , ,57,6,B1,4,40,1,4,3,2, ,2,3,3,200,1,0
328,5,5,5,5,4,5,3,5,5,4,5,5,4,5,4,3,5,1,1,51,2,99, , ,4, , ,7,1,4,4, , , ,51,6,B2,3, , ,1,2,2, ,2,3,2,200,1,0
329,5,5,5,5,5,5,1,5,5,4,5,5,5,5,5,4,5,1,7,56,2,30,49, ,4, , ,8,2, ,97, , , ,56,7,A1,9, , ,6,1,2, ,2,3,2,50,1,0
330,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,6,66,1,17,19, ,4, , ,9,1,4,2, , , ,66,6,A2,5,24,1,6,1,2,5,2,3,1,300,8,1
331,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,4,68,2,30, , ,4, , ,7,1,2,97, , , ,57,6,B1,3,21,2,4,3,2, ,2,3,1,200,1,1
332,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,50,2,99, , ,4, , ,9,2, ,97, , , ,50,4,C,4,40,2,3,3,2, ,2,3,1,200,1,1
333,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,1,3,68,2,7, , ,4, , ,9,2, ,97, , , ,65,4,C,3,30,2,3,3,2, ,2,3,1,60,1,1
334,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,52,2,1, , ,4, , ,9,2, ,97, , , ,50,3,D,4, , ,1,3,2, ,2,3,1,100,1,1
335,5,5,5,5,4,5,4,5,5,4,4,5,5,5,5,5,5,7,4,68,2,1, , ,4, , ,7,1,4,97, , , ,57,6,B1,4,28,2,4,3,2, ,2,3,3,100,12,1
336,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,7,56,1,49, , ,4, , ,8,2, ,2, , , ,56,7,A1,3,52,1,3,3,2, ,2,3,1,100,1,1
337,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,4,68,2,1, , ,4, , ,9,2, ,97, , , ,55,6,A1,6,35,2,4,3,2, ,2,3,1,200,12,1
338,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,68,2,45, , ,4, , ,7,2, ,97, , , ,57,5,B2,4,38,2,3,3,2, ,2,3,1,200,1,1
339,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,68,2,30, , ,4, , ,9,1,1,97, , , ,50,6,B2,4,28,2,5,3,2, ,2,3,1,30,10,1
340,5,5,5,5,5,4,3,5,5,5,4,4,4,5,5,4,5,1,4,69,2,1, , ,4, , ,8,2, ,97, , , ,50,4,C,5, ,2,4,3,2, ,2,3,3,300,8,0
341,5,5,5,5,5,5,2,5,5,1,5,5,5,5,5,5,5,1,6,68,2,1,30, ,4, , ,8,2, ,97, , , ,66,7,A2,5,30,2,6,3,2, ,2,3,1,200,1,0
342,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,3,5,9,6,68,2,30, , ,4, , ,8,2, ,97, , , ,66,7,A2,5, , ,6,3,2, ,2,3,1,300,9,3
343,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,1,6,57,2,16,17, ,4, , ,4,1,7,97, , , ,57,6,B1,5, , ,4,3,2, ,2,3,3,200,8,1
344,5,5,5,5,2,3,2,5,5,5,5,5,2,5,5,5,5,9,3,68,2,33, , ,4, , ,8,2, ,97, , , ,51,3,D,3,27,2,3,3,2,11,2,3,1,100,1,0
345,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,1,5,69,1,1,30, ,4, , ,9,2, ,97, , , ,66,6,A2,4, , ,3,3,2, ,2,3,1,200,11,1
346,5,5,5,5,5,5,4,5,5,1,5,5,5,5,2,2,4,1,5,68,2,99, , ,9,7, ,9,2, ,97, , , ,65,7,A2,4, , ,3,3,2, ,2,3,1,600,12,3
347,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,65,2,1,17, ,4, , ,3,1,7,97, , , ,66,6,A2,10, , ,3,3,2, ,2,3,3, ,12,1
348,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,1,6,52,2,1,30,6,4, , ,9,2, ,97, , , ,52,6,A2,3, , ,5,3,2, ,2,3,1,125,9,1
349,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,68,2,8, , ,4, , ,9,2, ,97, , , ,52,4,B2,4,40,2,3,3,2,16,2,3,1,50,1,1
350,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,68,99,52, , ,4, , ,9,2, ,4, , , ,51,3,D,3,35,2,1,3,2,16,2,3,1,200,1,1
351,5,5,5,5,5,4,3,5,5,3,4,5,4,5,5,4,5,1,4,68,2,1, , ,4, , ,9,2, ,97, , , ,66,6,A2,5,35,2,4,3,2, ,2,3,1,100,12,0
352,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,9,1,68,99,52, , ,4, , ,9,2, ,97, , , ,49,1,E2,3,40,2,3,3,2, ,2,3,1,200,12,1
353,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,1,6,66,2,30,1,6,4, , ,8,2, ,97, , , ,66,6,A2,4, , ,4,3,2, ,2,3,1,100,1,1
354,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,1,3,68,1,8, , ,4, , ,8,2, ,97, , , ,57,6,B1,3, , ,3,2,2, ,2,3,1, ,12,1
355,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,51,99,52, , ,4, , ,9,2, ,97, , , ,49,4,D,3, , ,1,1,2, ,2,3,1,50,1,1
356,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,1,4,65,2,99, , ,9,7, ,9,2, ,97, , , ,65,4,C,4, , ,3,3,2, ,2,3,1,50,12,3
357,5,5,5,5,5,5,3,5,5,5,4,5,4,5,5,4,5,1,4,68,2,1,44, ,4, , ,7,2, ,97, , , ,66,7,A2,6,45,2,4,3,2, ,2,3,1,1200,7,1
358,5,5,5,5,3,3,5,5,5, ,5,3,3,5,5,3,5,1,6,67,2,11, , ,4, , ,9,1,2,4, , , ,67,6,A1,8, , ,3,3,2, ,2,3,1,50,1,3
359,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,68,2,1, , ,4, , ,8,2, ,97, , , ,57,7,B1,4,42,2,4,3,2, ,2,3,1,300,1,1
360,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,1,4,57,2,6, , ,4, , ,7,1,7,97, , , ,57,4,C,3, , ,4,1,2, ,2,3,1,100,1,1
361,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,7,65,2,30,16,11,4, , ,9,2, ,2, , , ,65,6,B1,4,50,1,4,3,2, ,1,3,3,200,12,1
362,5,5,5,5,5,2,2,5,5,5,5,5,5,5,4,1,5,1,3,68,99,7, , ,4, , ,9,2, ,97, , , ,57,4,C,3, ,2,3,3,2, ,2,3,3,800,1,0
363,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,1,6,57,2,1,30, ,4, , ,9,2, ,97, , , ,57,6,B1,4,48,1,1,3,2, ,2,3,3,1000,1,1
364,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,68,99,52, , ,4, , ,9,2, ,97, , , ,57,6,B1,3,25,1,1,3,2, ,2,3,1,100,1,1
365,5,5,5,5,5,4,2,5,5,5,5,5,4,5,5,5,5,1,3,68,99,4, , ,4, , ,8,2, ,97, , , ,49,1,E2,3, ,2,1,1,2,11,2,3,1,500,1,0
366,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,6,68,2,30, , ,4, , ,8,2, ,97, , , ,65,6,B1,3,30,2,6,3,2, ,2,3,1,100,12,1
367,5,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,1,4,68,2,1, , ,4, , ,8,2, ,2, , , ,66,6,A2,4, , ,4,3,2, ,2,3,2,200,9,0
368,5,5,5,5,5,4,1,5,5,5,5,5,5,5,5,1,5,1,6,66,2,99, , ,9,7, ,9,2, ,97, , , ,67,6,A1,5, , ,6,3,2, ,2,3,2,400,14,0
369,5,5,5,5,5,5,4,5,5,4,5,5,4,5,5,4,5,1,3,56,2,1, , ,4, , ,9,2, ,1,2,3,4,65,4,C,3,50,2,3,3,2, ,2,3,2,200,12,1
370,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,1,5,68,2,6,1, ,4, , ,8,2, ,2, , , ,50,4,C,4,40,2,5,3,2, ,1,3,3,25,1,1
371,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,3,68,2,8, , ,4, , ,9,2, ,97, , , ,57,6,B1,4,35,2,3,3,2, ,2,3,1,50,1,1
372,5,5,5,5,5,5,2,5,5,5,4,5,3,5,5,5,5,1,4,51,2,99, , ,4, , ,7,2, ,97, , , ,51,6,B2,3,35,1,2,3,2,11,2,3,1,100,1,0
373,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,4,51,7,7, , ,2, , ,7,2, ,97, , , ,51,3,D,3, , ,3,3,4, ,2,3,1,50,8,1
374,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,9,6,57,7,10, , ,2, , ,4,2, ,97, , , ,57,6,B1,4, , ,4,3,4, ,2,3,1,50,1,3
375,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,10,3,50,7,7, , ,2, , ,7,2, ,97, , , ,50,3,D,3, , ,3,3,4, ,2,3,1,25,8,1
